kind	level	name	limit_kind1	limit_lv1	limit_kind2	limit_lv2	restype1	resvalue1	restype2	resvalue2	restype3	resvalue3	restype4	resvalue4	worker	sec	value1	value2	value3	value4
1	0	王城/圣殿	0	0	0	0	1	44	2	44	0	0	0	0	1	6	0	0	0	0
1	1	王城/圣殿	2	1	0	0	1	63	2	63	0	0	0	0	1	5	0	0	0	0
1	2	王城/圣殿	2	2	0	0	1	91	2	91	0	0	0	0	1	85	0	0	0	0
1	3	王城/圣殿	2	3	0	0	1	129	2	129	0	0	0	0	1	95	0	0	0	0
1	4	王城/圣殿	2	4	0	0	1	185	2	185	0	0	0	0	1	107	0	0	0	0
1	5	王城/圣殿	2	5	0	0	1	264	2	264	0	0	0	0	1	267	0	0	0	0
1	6	王城/圣殿	2	6	0	0	1	378	2	378	0	0	0	0	1	393	0	0	0	0
1	7	王城/圣殿	2	7	0	0	1	539	2	539	0	0	0	0	1	473	0	0	0	0
1	8	王城/圣殿	2	8	0	0	1	771	2	771	0	0	0	0	1	850	0	0	0	0
1	9	王城/圣殿	2	9	0	0	1	1101	2	1101	0	0	0	0	1	1160	0	0	0	0
1	10	王城/圣殿	2	10	0	0	1	1573	2	1573	0	0	0	0	1	1483	0	0	0	0
1	11	王城/圣殿	2	11	0	0	1	2247	2	2247	0	0	0	0	1	1917	0	0	0	0
1	12	王城/圣殿	2	12	0	0	1	3210	2	3210	0	0	0	0	1	2373	0	0	0	0
1	13	王城/圣殿	2	13	0	0	1	4585	2	4585	0	0	0	0	1	2846	0	0	0	0
1	14	王城/圣殿	2	14	0	0	1	6551	2	6551	0	0	0	0	1	3570	0	0	0	0
1	15	王城/圣殿	2	15	0	0	1	9358	2	9358	0	0	0	0	1	4462	0	0	0	0
1	16	王城/圣殿	2	16	0	0	1	13369	2	13369	0	0	0	0	1	5593	0	0	0	0
1	17	王城/圣殿	2	17	0	0	1	19099	2	19099	0	0	0	0	1	7304	0	0	0	0
1	18	王城/圣殿	2	18	0	0	1	27284	2	27284	0	0	0	0	1	7918	0	0	0	0
1	19	王城/圣殿	2	19	0	0	1	38909	2	38909	0	0	0	0	1	9816	0	0	0	0
1	20	王城/圣殿	2	20	0	0	1	44408	2	44408	3	1101	4	1101	1	12913	0	0	0	0
1	21	王城/圣殿	2	21	0	0	1	52479	2	52479	3	1573	4	1573	1	14888	0	0	0	0
1	22	王城/圣殿	2	22	0	0	1	66875	2	66875	3	2247	4	2247	1	16739	0	0	0	0
1	23	王城/圣殿	2	23	0	0	1	72602	2	72602	3	3210	4	3210	1	20351	0	0	0	0
1	24	王城/圣殿	2	24	0	0	1	82437	2	82437	3	4585	4	4585	1	27438	0	0	0	0
1	25	王城/圣殿	2	25	0	0	1	88030	2	88030	3	6551	4	6551	1	31730	0	0	0	0
1	26	王城/圣殿	2	26	0	0	1	93442	2	93442	3	9358	4	9358	1	35859	0	0	0	0
1	27	王城/圣殿	2	27	0	0	1	118216	2	118216	3	13369	4	13369	1	41813	0	0	0	0
1	28	王城/圣殿	2	28	0	0	1	124333	2	124333	3	19099	4	19099	1	47536	0	0	0	0
1	29	王城/圣殿	2	29	0	0	1	136116	2	136116	3	27284	4	27284	1	53080	0	0	0	0
1	30	王城/圣殿	2	30	0	0	1	148900	2	148900	3	38909	4	38909	1	58483	0	0	0	0
1	31	王城/圣殿	2	31	0	0	1	160492	2	160492	3	44408	4	44408	1	65476	0	0	0	0
1	32	王城/圣殿	2	32	0	0	1	186261	2	186261	3	52479	4	52479	1	72292	0	0	0	0
1	33	王城/圣殿	2	33	0	0	1	208022	2	208022	3	66875	4	66875	1	80572	0	0	0	0
1	34	王城/圣殿	2	34	0	0	1	220505	2	220505	3	72602	4	72602	1	88659	0	0	0	0
1	35	王城/圣殿	2	35	0	0	1	232626	2	232626	3	82437	4	82437	1	98110	0	0	0	0
1	36	王城/圣殿	2	36	0	0	1	255533	2	255533	3	88030	4	88030	1	107366	0	0	0	0
1	37	王城/圣殿	2	37	0	0	1	296485	2	296485	3	93442	4	93442	1	117909	0	0	0	0
1	38	王城/圣殿	2	38	0	0	1	309504	2	309504	3	118216	4	118216	1	129673	0	0	0	0
1	39	王城/圣殿	2	39	0	0	1	336250	2	336250	3	124333	4	124333	1	141554	0	0	0	0
1	40	王城/圣殿	2	40	0	0	1	349269	2	349269	3	136116	4	136116	1	154653	0	0	0	0
1	41	王城/圣殿	2	41	0	0	1	368332	2	368332	3	148900	4	148900	1	167599	0	0	0	0
1	42	王城/圣殿	2	42	0	0	1	435316	2	435316	3	160492	4	160492	1	183034	0	0	0	0
1	43	王城/圣殿	2	43	0	0	1	456177	2	456177	3	186261	4	186261	1	198291	0	0	0	0
1	44	王城/圣殿	2	44	0	0	1	476547	2	476547	3	208022	4	208022	1	214664	0	0	0	0
1	45	王城/圣殿	2	45	0	0	1	516327	2	516327	3	220505	4	220505	1	232125	0	0	0	0
1	46	王城/圣殿	2	46	0	0	1	536616	2	536616	3	232626	4	232626	1	250649	0	0	0	0
1	47	王城/圣殿	2	47	0	0	1	605976	2	605976	3	255533	4	255533	1	271412	0	0	0	0
1	48	王城/圣殿	2	48	0	0	1	651361	2	651361	3	296485	4	296485	1	291981	0	0	0	0
1	49	王城/圣殿	2	49	0	0	1	680201	2	680201	3	309504	4	309504	1	313558	0	0	0	0
1	50	王城/圣殿	2	50	0	0	1	701413	2	701413	3	336250	4	336250	1	337271	0	0	0	0
1	51	王城/圣殿	2	51	0	0	1	756190	2	756190	3	349269	4	349269	1	360805	0	0	0	0
1	52	王城/圣殿	2	52	0	0	1	848456	2	848456	3	368332	4	368332	1	387537	0	0	0	0
1	53	王城/圣殿	2	53	0	0	1	878424	2	878424	3	435316	4	435316	1	414074	0	0	0	0
1	54	王城/圣殿	2	54	0	0	1	940286	2	940286	3	456177	4	456177	1	442624	0	0	0	0
1	55	王城/圣殿	2	55	0	0	1	970264	2	970264	3	476547	4	476547	1	472072	0	0	0	0
1	56	王城/圣殿	2	56	0	0	1	999761	2	999761	3	516327	4	516327	1	503475	0	0	0	0
1	57	王城/圣殿	2	57	0	0	1	1152610	2	1152610	3	536616	4	536616	1	536793	0	0	0	0
1	58	王城/圣殿	2	58	0	0	1	1184338	2	1184338	3	605976	4	605976	1	570961	0	0	0	0
1	59	王城/圣殿	2	59	0	0	1	1223379	2	1223379	3	651361	4	651361	1	607002	0	0	0	0
1	60	王城/圣殿	2	60	0	0	1	1223379	2	1223379	3	651361	4	651361	1	607002	0	0	0	0
2	0	城墙	1	1	0	0	1	24	2	24	0	0	0	0	1	6	0	0	0	0
2	1	城墙	1	2	0	0	1	35	2	35	0	0	0	0	1	4	100	0	0	0
2	2	城墙	1	3	0	0	1	50	2	50	0	0	0	0	1	77	200	0	0	0
2	3	城墙	1	4	0	0	1	71	2	71	0	0	0	0	1	87	300	0	0	0
2	4	城墙	1	5	0	0	1	101	2	101	0	0	0	0	1	97	400	0	0	0
2	5	城墙	1	6	0	0	1	145	2	145	0	0	0	0	1	243	500	0	0	0
2	6	城墙	1	7	0	0	1	207	2	207	0	0	0	0	1	358	600	0	0	0
2	7	城墙	1	8	0	0	1	296	2	296	0	0	0	0	1	430	700	0	0	0
2	8	城墙	1	9	0	0	1	422	2	422	0	0	0	0	1	773	800	0	0	0
2	9	城墙	1	10	0	0	1	603	2	603	0	0	0	0	1	1055	900	0	0	0
2	10	城墙	1	11	0	0	1	862	2	862	0	0	0	0	1	1349	1000	0	0	0
2	11	城墙	1	12	0	0	1	1232	2	1232	0	0	0	0	1	1744	1100	0	0	0
