id	zh	en
1	王城	Town Center
2	城墙	Wall
3	酒馆	Drunkery
4	市场	Market
5	赌场	Gambling House
6	图书馆	Library
7	许愿池	Wall
8	大使馆	Embassy
9	铁匠铺	Smithy
10	校场	Drill Ground
11	仓库	Store House
12	木材厂	Wood Factory
13	农田	Farm
14	铁矿厂	Iron Factory
15	秘银穴	Mithril
16	民居	House
17	兵营	Barracks
18	马厩	Stable
19	靶场	Shooting Range
20	塔楼	Tower
21	法师营地	Magician
22	工匠坊	Craftsman
101	决定城池等级，同时决定了其他建筑的等级上限	xxx
501	连接服务器失败	Connect server failed
502	已与服务器断开连接	Has been disconnected from the server
503	重试	Try Again
507	是否退出游戏	Are you out of the game?
508	继续游戏	Continue Play
509	退出	Exit
510	背包已满	The backpack was full
511	此类物品不可丢弃	Do not throw away
601	只能同时建造或升级2个建筑	xxx
1001	建造	Build
1002	世界地图	World Map
1003	活动	Activity
1004	邮件	Mail
1005	任务	Mission
1006	成就	Achieve
1007	英雄	Hero
1008	暂停	Pause
1009	继续	Continue
1010	退出	Exit
1011	等级	Level
1012	信息	Info
1013	升级	Upgrade
1014	立即完成	Finish
1033	步兵	Warrior
1034	弓兵	Archer
1035	骑兵	Cavalry
1036	飞兵	Airman
1037	法师	Mage
1038	返回城池	City
1039	攻击	Attack
1040	侦查	Spy
1041	迁城	MoveCity
1042	占领	Occupy
1048	城外	Outside The City
1049	我的城池	My City
1050	背包	Storage
1051	物资	Item
1052	材料	Stuff
1053	装备	Equipment
1054	宝石	Gem
1055	使用	Use
1056	数量	Count
1060	联盟	League
1070	翻译	Translation
1071	原文	Origin
1072	取消	Cancel
1073	立即建造	Finish
1074	立即升级	Finish
1075	升级	LevelUp
1076	点击使用加速道具	Press to use item
1077	放弃建造将只返回50%资源	Only 50% resouces will be refunded to Cancel
1078	详情	Detail
1079	背包	Packet
1080	加速	SpeedUp
1081	训练	Train
1200	民兵	Soldier
1201	民兵	Soldier
1202	步兵	Soldier
